MSG_KEY,MSG_CONTENT
ERR_GENERAL,"出现错误"
INFO_GENERAL,"讯息"
APP_QGL_CAPTION,"梦幻古龙"
APP_QGL_PATCHER_CAPTION,"梦幻古龙 - 更新程序"
MSG_CONNECTION_FAILED,"联机失败，请先检查阁下的网络。"
MSG_TRACKER_DOWNLOADING,"正在更新服务器资料，请稍候片刻…"
MSG_TRACKER_DOWNLOAD_FAILED,"服务器资料更新失败。请检查网络联线，并在重启后程序后再尝试。"
MSG_SERVERLIST_DOWNLOADING,"正在更新服务器资料，请稍候片刻…"
MSG_SERVERLIST_DOWNLOAD_FAILED,"服务器资料更新失败，请到上一页并选择其它服务器、线，或重启程序后再尝试。"
MSG_SERVERLIST_LOAD_FAILED,"档案列表加载失败。"
MSG_CANNOT_REVERT_VERSION,"你的客户端版本比所选择服务器还新，因此不能回溯至旧版本。"
MSG_DOWNLOAD_FILE_ERR,"下载的档案错误，请联络您的游戏管理员。"
MSG_DOWNLOAD_MERGEFILE_ERR,"下载的档案合并错误，请联络您的游戏管理员。"
MSG_CONFIGURATION_ERR,"载入资料档案失败，请联络您的游戏管理员。"
MSG_FILEMOVE_ERR,"档案拷贝错误，%s拷贝到%s失败。"
MSG_UPDATE_PREPROCESSING,"正在准备中，请稍候片刻…"
MSG_UPDATE_COPYING,"正在拷贝中，请稍候片刻…"
MSG_UPDATE_MERGING,"档案拷贝中，请稍候片刻…"
MSG_CHECK_OPENAPP_PROCESS,"如阁下正在使用以上档案，请关闭程序。"
MSG_ASK_RESTART_SYS,"如果仍然无效，请关闭系统再执行。"
MSG_PATCH_CALENDAR_WEEK0,"日"
MSG_PATCH_CALENDAR_WEEK1,"一"
MSG_PATCH_CALENDAR_WEEK2,"二"
MSG_PATCH_CALENDAR_WEEK3,"三"
MSG_PATCH_CALENDAR_WEEK4,"四"
MSG_PATCH_CALENDAR_WEEK5,"五"
MSG_PATCH_CALENDAR_WEEK6,"六"
MSG_PATCH_VERSION_LATEST,"已是最新版本，不需要更新，请按〈进入游戏〉"
MSG_PATCH_VERSION_NEEDREVERT,"版本需要回退，请按〈进入游戏〉进行更新"
MSG_UPDATE_PROGRESS_INSTALL,"(更新中…)"
